"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
350572,31249,1,"State-Chartered","NM","FDIC","1ST UNITED BANK","MN",0,0,13461,139471,139874,377,0,0,0.0901,"Minnesota",13084,139094,0.0940658835032424116065394625217478827268
3223417,57644,1,"State-Chartered","NM","FDIC","GATEWAY BANK","MN",0,0,13614,137886,138596,0,0,0,0.0988,"Minnesota",13614,137886,0.0987337365649884687350419912101301074801
89854,13809,1,"National Charter","N","OCC","MINNSTAR BANK NATIONAL ASSOCIATION","MN",13972,0,10640,124214,136295,0,0,0,0.086,"Minnesota",10640,124214,0.0856586214114351039335340621830067464215
950758,1604,1,"State-Chartered","NM","FDIC","SECURITY BANK USA","MN",0,0,12609,134305,134966,774,0,0,0.0939,"Minnesota",11835,133531,0.0886311043877451677887531734204042506983
28152,11415,1,"State-Chartered","NM","FDIC","HARVEST BANK","MN",0,0,12216,129200,133199,0,0,0,0.0941,"Minnesota",12216,129200,0.0945510835913312693498452012383900928793
835958,15804,1,"State-Chartered","NM","FDIC","FIRST STATE BANK OF WABASHA","MN",0,0,14323,134502,132355,0,0,0,0.102,"Minnesota",14323,134502,0.1064891228383221067344723498535337764494
190956,1908,1,"State-Chartered","NM","FDIC","WANDA STATE BANK, THE","MN",0,0,20114,129827,130713,0,0,1049,0.1512,"Minnesota",19065,128778,0.1480454736057401108885058006802404137353
950356,10175,1,"State-Chartered","NM","FDIC","SECURITY STATE BANK OF HIBBING","MN",0,0,12031,126376,128991,0,0,250,0.1,"Minnesota",11781,126126,0.0934065934065934065934065934065934065934
787459,10191,1,"State-Chartered","NM","FDIC","PRINSBANK","MN",0,0,16374,127203,128897,0,0,0,0.1284,"Minnesota",16374,127203,0.1287233791655857173179877833069974764746
942258,17733,1,"State-Chartered","NM","FDIC","SECURITY STATE BANK OF FERGUS FALLS","MN",0,0,12785,128617,128219,1502,0,0,0.0964,"Minnesota",11283,127115,0.0887621445148094245368367226527160445266
837354,5270,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF WASECA, THE","MN",6544,0,12550,127952,127073,483,1128,0,0.09,"Minnesota",10939,126341,0.086583136115750231516293206480873192392
689759,22242,1,"State-Chartered","NM","FDIC","UNION BANK AND TRUST COMPANY","MN",0,0,10669,129969,124753,0,0,147,0.0823,"Minnesota",10522,129822,0.0810494369213230423194836006223906579778
791353,16704,1,"State-Chartered","NM","FDIC","BANKWEST","MN",0,0,11374,123643,124045,0,0,0,0.0915,"Minnesota",11374,123643,0.0919906505018480625672298472214359082196
990053,10163,1,"State-Chartered","NM","FDIC","SECURITY STATE BANK OF MARINE","MN",0,0,12245,121858,123933,0,0,0,0.1005,"Minnesota",12245,121858,0.1004858113541991498301301514877972722349
127055,5131,1,"National Charter","N","OCC","WESTERN NATIONAL BANK","MN",13116,0,13580,124154,123806,220,2916,0,0.088,"Minnesota",10444,121018,0.0863012113900411509031714290436133467749
210256,13430,1,"State-Chartered","SM","FED","WADENA STATE BANK","MN",0,0,14616,125127,122859,0,0,0,0.1089,"Minnesota",14616,125127,0.1168093217291232108178091059483564698267
201254,8205,1,"State-Chartered","NM","FDIC","AMERICANA COMMUNITY BANK","MN",0,0,5972,120299,121528,0,0,0,0.0549,"Minnesota",5972,120299,0.0496429729257932318639390186119585366462
114251,10184,1,"State-Chartered","NM","FDIC","F&M BANK MINNESOTA","MN",0,0,11619,119384,120934,379,301,0,0.09,"Minnesota",10939,118704,0.0921535921283191804825448173608303005796
2749059,35172,1,"State-Chartered","NM","FDIC","BOUNDARY WATERS BANK","MN",0,0,10264,118276,119173,383,0,0,0.0856,"Minnesota",9881,117893,0.083813288320765439847997760681295751232
1007752,10561,1,"State-Chartered","NM","FDIC","FARMERS STATE BANK OF HARTLAND","MN",0,0,13943,116688,118415,218,1530,0,0.1044,"Minnesota",12195,114940,0.1060988341743518357403862884983469636332
770451,13382,1,"State-Chartered","NM","FDIC","FARMERS & MERCHANTS STATE BANK OF SPRINGFIELD","MN",0,0,9473,118436,118034,0,0,687,0.0801,"Minnesota",8786,117749,0.0746163449371119924585346797000399154133
1006157,8214,1,"State-Chartered","NM","FDIC","FARMERS STATE BANK OF HAMEL","MN",0,0,12308,117882,117167,0,0,0,0.1023,"Minnesota",12308,117882,0.1044094942400027145789857654264433925451
834755,12195,1,"State-Chartered","NM","FDIC","LAKE BANK, THE","MN",0,0,10722,114381,117096,0,279,1037,0.0904,"Minnesota",9406,113065,0.0831910847742449033741653031442090832707
171759,10967,1,"National Charter","N","OCC","F & M COMMUNITY BANK, NATIONAL ASSOCIATION","MN",24356,0,13157,112852,115994,0,0,0,0.1135,"Minnesota",13157,112852,0.1165863254528054442987275369510509339666
30650,8193,1,"State-Chartered","NM","FDIC","LAKE COMMUNITY BANK","MN",0,0,15229,115650,115389,0,0,127,0.1319,"Minnesota",15102,115523,0.1307272144940834292738242601040485444457
873950,12921,1,"State-Chartered","NM","FDIC","STATE BANK OF NEW PRAGUE","MN",0,0,15461,110578,113908,0,0,0,0.1183,"Minnesota",15461,110578,0.1398198556674926296369983179294253829876
729057,10194,1,"State-Chartered","NM","FDIC","PINE RIVER STATE BANK","MN",0,0,9045,111459,112130,0,0,0,0.0812,"Minnesota",9045,111459,0.0811509164804995558905068231367588081716
145750,1383,1,"State-Chartered","NM","FDIC","STATE BANK OF BELLE PLAINE","MN",0,0,12235,107337,111105,0,0,0,0.109,"Minnesota",12235,107337,0.1139867892711739661067479061274304293953
295057,10984,1,"State-Chartered","NM","FDIC","SECURITY BANK MINNESOTA","MN",0,0,12874,109792,110715,0,0,0,0.1106,"Minnesota",12874,109792,0.1172580880209851355290002914602156805596
164153,10965,1,"State-Chartered","NM","FDIC","LAKE REGION BANK","MN",0,0,9421,106864,110682,200,0,0,0.0865,"Minnesota",9221,106664,0.0864490362259056476411910297757443936098
23456,5162,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF HENNING, THE","MN",6906,0,13384,109702,110535,0,0,0,0.1172,"Minnesota",13384,109702,0.1220032451550564255893238044885234544493
723158,8541,1,"State-Chartered","NM","FDIC","STATE BANK OF FAIRMONT","MN",0,0,10904,104697,108050,0,0,0,0.1059,"Minnesota",10904,104697,0.1041481608833108876090050335730727719037
362753,10171,1,"State-Chartered","NM","FDIC","AVON STATE BANK","MN",0,0,13472,107042,107562,0,0,0,0.1266,"Minnesota",13472,107042,0.1258571401879636030716914855850974383887
1008955,11409,1,"State-Chartered","NM","FDIC","VALLEY PREMIER BANK","MN",0,0,10066,108337,106593,0,0,0,0.0921,"Minnesota",10066,108337,0.0929137783028882099375098073603662645264
284752,1415,1,"National Charter","SA","OCC","NORTHWOODS BANK OF MINNESOTA","MN",714810,14810,11592,105820,104294,453,0,0,0.1057,"Minnesota",11139,105367,0.1057162109578900414740858143441494965217
1470150,33131,1,"National Charter","N","OCC","FIRST FARMERS & MERCHANTS NATIONAL BANK","MN",22351,0,13093,103428,103372,0,0,0,0.1262,"Minnesota",13093,103428,0.126590478400433151564373283830297404958
72454,8210,1,"State-Chartered","NM","FDIC","FREEPORT STATE BANK","MN",0,0,9775,102410,102940,0,0,0,0.0954,"Minnesota",9775,102410,0.0954496631188360511668782345474074797383
